obs_id,gw_id,side,role,conflict_id,year
251-1967,750,A,primary,251,1967
251-1968,750,A,primary,251,1968
251-1992,750,A,primary,251,1992
251-1993,750,A,primary,251,1993
251-1994,750,A,primary,251,1994
251-1995,750,A,primary,251,1995
251-1996,750,A,primary,251,1996
251-1997,750,A,primary,251,1997
251-2000,750,A,primary,251,2000
252-1956,651,A,primary,252,1956
252-1956,200,B,primary,252,1956
252-1956,220,B,primary,252,1956
252-1956,666,B,primary,252,1956
253-1957,775,A,primary,253,1957
253-1987,775,A,primary,253,1987
253-1992,775,A,primary,253,1992
253-1996,775,A,primary,253,1996
253-2005,775,A,primary,253,2005
254-1957,220,A,primary,254,1957
254-1958,220,A,primary,254,1958
254-1959,220,A,primary,254,1959
255-1957,91,A,primary,255,1957
255-1957,93,B,primary,255,1957
256-1957,220,A,primary,256,1957
256-1957,230,A,secondary,256,1957
256-1958,220,A,primary,256,1958
256-1958,230,A,secondary,256,1958
257-1957,230,A,primary,257,1957
257-1957,220,A,secondary,257,1957
257-1958,230,A,primary,257,1958
257-1958,220,A,secondary,257,1958
258-1957,698,A,primary,258,1957
258-1957,200,A,secondary,258,1957
259-1958,645,A,primary,259,1958
259-1959,645,A,primary,259,1959
259-1963,645,A,primary,259,1963
259-1982,645,A,primary,259,1982
259-1983,645,A,primary,259,1983
259-1984,645,A,primary,259,1984
259-1987,645,A,primary,259,1987
259-1991,645,A,primary,259,1991
259-1992,645,A,primary,259,1992
259-1993,645,A,primary,259,1993
259-1994,645,A,primary,259,1994
259-1995,645,A,primary,259,1995
259-1996,645,A,primary,259,1996
259-2004,645,A,primary,259,2004
259-2004,339,A,secondary,259,2004
259-2004,900,A,secondary,259,2004
259-2004,373,A,secondary,259,2004
259-2004,355,A,secondary,259,2004
259-2004,316,A,secondary,259,2004
259-2004,390,A,secondary,259,2004
259-2004,42,A,secondary,259,2004
259-2004,92,A,secondary,259,2004
259-2004,366,A,secondary,259,2004
259-2004,372,A,secondary,259,2004
259-2004,91,A,secondary,259,2004
259-2004,325,A,secondary,259,2004
259-2004,705,A,secondary,259,2004
259-2004,367,A,secondary,259,2004
259-2004,368,A,secondary,259,2004
259-2004,343,A,secondary,259,2004
259-2004,359,A,secondary,259,2004
259-2004,712,A,secondary,259,2004
259-2004,210,A,secondary,259,2004
259-2004,93,A,secondary,259,2004
259-2004,385,A,secondary,259,2004
259-2004,840,A,secondary,259,2004
259-2004,290,A,secondary,259,2004
259-2004,235,A,secondary,259,2004
259-2004,360,A,secondary,259,2004
259-2004,317,A,secondary,259,2004
259-2004,732,A,secondary,259,2004
259-2004,230,A,secondary,259,2004
259-2004,972,A,secondary,259,2004
259-2004,369,A,secondary,259,2004
259-2004,200,A,secondary,259,2004
259-2004,2,A,secondary,259,2004
259-2005,645,A,primary,259,2005
259-2005,339,A,secondary,259,2005
259-2005,371,A,secondary,259,2005
259-2005,900,A,secondary,259,2005
259-2005,373,A,secondary,259,2005
259-2005,346,A,secondary,259,2005
259-2005,355,A,secondary,259,2005
259-2005,316,A,secondary,259,2005
259-2005,390,A,secondary,259,2005
259-2005,92,A,secondary,259,2005
259-2005,366,A,secondary,259,2005
259-2005,372,A,secondary,259,2005
259-2005,325,A,secondary,259,2005
259-2005,705,A,secondary,259,2005
259-2005,367,A,secondary,259,2005
259-2005,368,A,secondary,259,2005
259-2005,343,A,secondary,259,2005
259-2005,359,A,secondary,259,2005
259-2005,712,A,secondary,259,2005
259-2005,210,A,secondary,259,2005
259-2005,385,A,secondary,259,2005
259-2005,290,A,secondary,259,2005
259-2005,235,A,secondary,259,2005
259-2005,360,A,secondary,259,2005
259-2005,317,A,secondary,259,2005
259-2005,732,A,secondary,259,2005
259-2005,369,A,secondary,259,2005
259-2005,200,A,secondary,259,2005
259-2005,2,A,secondary,259,2005
259-2006,645,A,primary,259,2006
259-2006,339,A,secondary,259,2006
259-2006,371,A,secondary,259,2006
259-2006,900,A,secondary,259,2006
259-2006,373,A,secondary,259,2006
259-2006,346,A,secondary,259,2006
259-2006,355,A,secondary,259,2006
259-2006,316,A,secondary,259,2006
259-2006,390,A,secondary,259,2006
259-2006,92,A,secondary,259,2006
259-2006,366,A,secondary,259,2006
259-2006,372,A,secondary,259,2006
259-2006,705,A,secondary,259,2006
259-2006,367,A,secondary,259,2006
259-2006,368,A,secondary,259,2006
259-2006,343,A,secondary,259,2006
259-2006,359,A,secondary,259,2006
259-2006,712,A,secondary,259,2006
259-2006,290,A,secondary,259,2006
259-2006,360,A,secondary,259,2006
259-2006,317,A,secondary,259,2006
259-2006,732,A,secondary,259,2006
259-2006,200,A,secondary,259,2006
259-2006,2,A,secondary,259,2006
259-2007,645,A,primary,259,2007
259-2007,339,A,secondary,259,2007
259-2007,371,A,secondary,259,2007
259-2007,900,A,secondary,259,2007
259-2007,373,A,secondary,259,2007
259-2007,346,A,secondary,259,2007
259-2007,355,A,secondary,259,2007
259-2007,316,A,secondary,259,2007
259-2007,390,A,secondary,259,2007
259-2007,92,A,secondary,259,2007
259-2007,366,A,secondary,259,2007
259-2007,372,A,secondary,259,2007
259-2007,705,A,secondary,259,2007
259-2007,367,A,secondary,259,2007
259-2007,368,A,secondary,259,2007
259-2007,343,A,secondary,259,2007
259-2007,359,A,secondary,259,2007
259-2007,712,A,secondary,259,2007
259-2007,290,A,secondary,259,2007
259-2007,360,A,secondary,259,2007
259-2007,317,A,secondary,259,2007
259-2007,732,A,secondary,259,2007
259-2007,972,A,secondary,259,2007
259-2007,200,A,secondary,259,2007
259-2007,2,A,secondary,259,2007
259-2008,645,A,primary,259,2008
259-2008,339,A,secondary,259,2008
259-2008,371,A,secondary,259,2008
259-2008,900,A,secondary,259,2008
259-2008,373,A,secondary,259,2008
259-2008,346,A,secondary,259,2008
259-2008,355,A,secondary,259,2008
259-2008,316,A,secondary,259,2008
259-2008,92,A,secondary,259,2008
259-2008,366,A,secondary,259,2008
259-2008,372,A,secondary,259,2008
259-2008,705,A,secondary,259,2008
259-2008,367,A,secondary,259,2008
259-2008,368,A,secondary,259,2008
259-2008,343,A,secondary,259,2008
259-2008,359,A,secondary,259,2008
259-2008,712,A,secondary,259,2008
259-2008,290,A,secondary,259,2008
259-2008,360,A,secondary,259,2008
259-2008,732,A,secondary,259,2008
259-2008,972,A,secondary,259,2008
259-2008,369,A,secondary,259,2008
259-2008,200,A,secondary,259,2008
259-2008,2,A,secondary,259,2008
259-2009,645,A,primary,259,2009
259-2009,900,A,secondary,259,2009
259-2009,92,A,secondary,259,2009
259-2009,366,A,secondary,259,2009
259-2009,200,A,secondary,259,2009
259-2009,2,A,secondary,259,2009
259-2010,645,A,primary,259,2010
259-2010,2,A,secondary,259,2010
259-2011,645,A,primary,259,2011
259-2011,2,A,secondary,259,2011
259-2012,645,A,primary,259,2012
259-2013,645,A,primary,259,2013
259-2014,645,A,primary,259,2014
259-2014,900,A,secondary,259,2014
259-2014,692,A,secondary,259,2014
259-2014,211,A,secondary,259,2014
259-2014,20,A,secondary,259,2014
259-2014,390,A,secondary,259,2014
259-2014,220,A,secondary,259,2014
259-2014,663,A,secondary,259,2014
259-2014,210,A,secondary,259,2014
259-2014,670,A,secondary,259,2014
259-2014,696,A,secondary,259,2014
259-2014,200,A,secondary,259,2014
259-2014,2,A,secondary,259,2014
259-2015,645,A,primary,259,2015
259-2015,900,A,secondary,259,2015
259-2015,692,A,secondary,259,2015
259-2015,211,A,secondary,259,2015
259-2015,20,A,secondary,259,2015
259-2015,390,A,secondary,259,2015
259-2015,220,A,secondary,259,2015
259-2015,663,A,secondary,259,2015
259-2015,210,A,secondary,259,2015
259-2015,670,A,secondary,259,2015
259-2015,696,A,secondary,259,2015
259-2015,200,A,secondary,259,2015
259-2015,2,A,secondary,259,2015
259-2016,645,A,primary,259,2016
259-2016,900,A,secondary,259,2016
259-2016,692,A,secondary,259,2016
259-2016,211,A,secondary,259,2016
259-2016,20,A,secondary,259,2016
259-2016,390,A,secondary,259,2016
259-2016,220,A,secondary,259,2016
259-2016,663,A,secondary,259,2016
259-2016,210,A,secondary,259,2016
259-2016,670,A,secondary,259,2016
259-2016,696,A,secondary,259,2016
259-2016,200,A,secondary,259,2016
259-2016,2,A,secondary,259,2016
259-2017,645,A,primary,259,2017
259-2017,900,A,secondary,259,2017
259-2017,211,A,secondary,259,2017
259-2017,220,A,secondary,259,2017
259-2017,663,A,secondary,259,2017
259-2017,670,A,secondary,259,2017
259-2017,200,A,secondary,259,2017
259-2017,2,A,secondary,259,2017
259-2018,645,A,primary,259,2018
259-2018,900,A,secondary,259,2018
259-2018,211,A,secondary,259,2018
259-2018,220,A,secondary,259,2018
259-2018,663,A,secondary,259,2018
259-2018,210,A,secondary,259,2018
259-2018,670,A,secondary,259,2018
259-2018,200,A,secondary,259,2018
259-2018,2,A,secondary,259,2018
260-1958,660,A,primary,260,1958
260-1975,660,A,primary,260,1975
260-1976,660,A,primary,260,1976
260-1982,660,A,primary,260,1982
260-1983,660,A,primary,260,1983
260-1983,220,A,secondary,260,1983
260-1983,2,A,secondary,260,1983
260-1983,652,B,secondary,260,1983
260-1984,660,A,primary,260,1984
260-1984,220,A,secondary,260,1984
260-1984,2,A,secondary,260,1984
260-1985,660,A,primary,260,1985
260-1986,660,A,primary,260,1986
260-1989,660,A,primary,260,1989
260-1989,652,A,secondary,260,1989
260-1990,660,A,primary,260,1990
260-1990,652,A,secondary,260,1990
261-1958,820,A,primary,261,1958
261-1958,900,A,secondary,261,1958
261-1958,920,A,secondary,261,1958
261-1958,200,A,secondary,261,1958
261-1959,820,A,primary,261,1959
261-1959,900,A,secondary,261,1959
261-1959,920,A,secondary,261,1959
261-1959,200,A,secondary,261,1959
261-1960,820,A,primary,261,1960
261-1960,900,A,secondary,261,1960
261-1960,920,A,secondary,261,1960
261-1960,200,A,secondary,261,1960
261-1974,820,A,primary,261,1974
261-1975,820,A,primary,261,1975
261-1981,820,A,primary,261,1981
262-1959,812,A,primary,262,1959
262-1960,812,A,primary,262,1960
262-1960,800,A,secondary,262,1960
262-1961,812,A,primary,262,1961
262-1961,800,A,secondary,262,1961
262-1963,812,A,primary,262,1963
262-1963,817,A,secondary,262,1963
262-1963,2,A,secondary,262,1963
262-1963,816,B,secondary,262,1963
262-1964,812,A,primary,262,1964
262-1964,817,A,secondary,262,1964
262-1964,2,A,secondary,262,1964
262-1964,816,B,secondary,262,1964
262-1965,812,A,primary,262,1965
262-1965,817,A,secondary,262,1965
262-1965,2,A,secondary,262,1965
262-1965,816,B,secondary,262,1965
262-1966,812,A,primary,262,1966
262-1966,817,A,secondary,262,1966
262-1966,2,A,secondary,262,1966
262-1966,816,B,secondary,262,1966
262-1967,812,A,primary,262,1967
262-1967,817,A,secondary,262,1967
262-1967,2,A,secondary,262,1967
262-1967,816,B,secondary,262,1967
262-1968,812,A,primary,262,1968
262-1968,817,A,secondary,262,1968
262-1968,2,A,secondary,262,1968
262-1968,816,B,secondary,262,1968
262-1969,812,A,primary,262,1969
262-1969,817,A,secondary,262,1969
262-1969,800,A,secondary,262,1969
262-1969,2,A,secondary,262,1969
262-1969,816,B,secondary,262,1969
262-1970,812,A,primary,262,1970
262-1970,817,A,secondary,262,1970
262-1970,2,A,secondary,262,1970
262-1970,816,B,secondary,262,1970
262-1971,812,A,primary,262,1971
262-1971,817,A,secondary,262,1971
262-1971,2,A,secondary,262,1971
262-1971,816,B,secondary,262,1971
262-1972,812,A,primary,262,1972
262-1972,817,A,secondary,262,1972
262-1972,2,A,secondary,262,1972
262-1972,816,B,secondary,262,1972
262-1973,812,A,primary,262,1973
262-1973,817,A,secondary,262,1973
262-1973,2,A,secondary,262,1973
262-1973,816,B,secondary,262,1973
262-1989,812,A,primary,262,1989
262-1990,812,A,primary,262,1990
263-1961,235,A,primary,263,1961
263-1962,235,A,primary,263,1962
263-1963,235,A,primary,263,1963
263-1964,235,A,primary,263,1964
263-1965,235,A,primary,263,1965
263-1966,235,A,primary,263,1966
263-1967,235,A,primary,263,1967
263-1968,235,A,primary,263,1968
263-1969,235,A,primary,263,1969
263-1970,235,A,primary,263,1970
263-1971,235,A,primary,263,1971
263-1972,235,A,primary,263,1972
263-1973,235,A,primary,263,1973
263-1974,235,A,primary,263,1974
264-1959,775,A,primary,264,1959
264-1960,775,A,primary,264,1960
264-1961,775,A,primary,264,1961
264-1962,775,A,primary,264,1962
264-1963,775,A,primary,264,1963
264-1964,775,A,primary,264,1964
264-1965,775,A,primary,264,1965
264-1966,775,A,primary,264,1966
264-1967,775,A,primary,264,1967
264-1968,775,A,primary,264,1968
264-1969,775,A,primary,264,1969
264-1970,775,A,primary,264,1970
264-1972,775,A,primary,264,1972
264-1973,775,A,primary,264,1973
264-1976,775,A,primary,264,1976
264-1977,775,A,primary,264,1977
264-1978,775,A,primary,264,1978
264-1979,775,A,primary,264,1979
264-1980,775,A,primary,264,1980
264-1981,775,A,primary,264,1981
264-1982,775,A,primary,264,1982
264-1983,775,A,primary,264,1983
264-1984,775,A,primary,264,1984
264-1985,775,A,primary,264,1985
264-1986,775,A,primary,264,1986
264-1987,775,A,primary,264,1987
264-1988,775,A,primary,264,1988
264-1993,775,A,primary,264,1993
264-1994,775,A,primary,264,1994
264-1995,775,A,primary,264,1995
264-1996,775,A,primary,264,1996
264-1997,775,A,primary,264,1997
264-1998,775,A,primary,264,1998
264-1999,775,A,primary,264,1999
264-2000,775,A,primary,264,2000
264-2001,775,A,primary,264,2001
264-2002,775,A,primary,264,2002
264-2005,775,A,primary,264,2005
264-2006,775,A,primary,264,2006
264-2007,775,A,primary,264,2007
264-2008,775,A,primary,264,2008
264-2009,775,A,primary,264,2009
264-2010,775,A,primary,264,2010
264-2011,775,A,primary,264,2011
264-2013,775,A,primary,264,2013
264-2015,775,A,primary,264,2015
265-1961,490,A,primary,265,1961
265-1962,490,A,primary,265,1962
265-2013,490,A,primary,265,2013
265-2014,490,A,primary,265,2014
266-1960,490,A,primary,266,1960
266-1961,490,A,primary,266,1961
266-1962,490,A,primary,266,1962
267-1960,530,A,primary,267,1960
267-1976,530,A,primary,267,1976
267-1977,530,A,primary,267,1977
267-1978,530,A,primary,267,1978
267-1979,530,A,primary,267,1979
267-1980,530,A,primary,267,1980
267-1981,530,A,primary,267,1981
267-1982,530,A,primary,267,1982
267-1983,530,A,primary,267,1983
267-1984,530,A,primary,267,1984
267-1985,530,A,primary,267,1985
267-1986,530,A,primary,267,1986
267-1987,530,A,primary,267,1987
267-1988,530,A,primary,267,1988
267-1989,530,A,primary,267,1989
267-1990,530,A,primary,267,1990
267-1991,530,A,primary,267,1991
268-1964,530,A,primary,268,1964
268-1964,520,B,primary,268,1964
268-1977,530,A,primary,268,1977
268-1977,40,A,secondary,268,1977
268-1977,680,A,secondary,268,1977
268-1977,520,B,primary,268,1977
268-1978,530,A,primary,268,1978
268-1978,40,A,secondary,268,1978
268-1978,680,A,secondary,268,1978
268-1978,520,B,primary,268,1978
268-1980,530,A,primary,268,1980
268-1980,40,A,secondary,268,1980
268-1980,520,B,primary,268,1980
269-1960,790,A,primary,269,1960
269-1961,790,A,primary,269,1961
269-1962,790,A,primary,269,1962
269-1996,790,A,primary,269,1996
269-1997,790,A,primary,269,1997
269-1998,790,A,primary,269,1998
269-1999,790,A,primary,269,1999
269-2000,790,A,primary,269,2000
269-2001,790,A,primary,269,2001
269-2002,790,A,primary,269,2002
269-2003,790,A,primary,269,2003
269-2004,790,A,primary,269,2004
269-2005,790,A,primary,269,2005
269-2006,790,A,primary,269,2006
270-1961,220,A,primary,270,1961
270-1962,220,A,primary,270,1962
271-1961,645,A,primary,271,1961
271-1962,645,A,primary,271,1962
271-1963,645,A,primary,271,1963
271-1964,645,A,primary,271,1964
271-1965,645,A,primary,271,1965
271-1966,645,A,primary,271,1966
271-1967,645,A,primary,271,1967
271-1968,645,A,primary,271,1968
271-1969,645,A,primary,271,1969
271-1970,645,A,primary,271,1970
271-1973,645,A,primary,271,1973
271-1974,645,A,primary,271,1974
271-1975,645,A,primary,271,1975
271-1976,645,A,primary,271,1976
271-1977,645,A,primary,271,1977
271-1978,645,A,primary,271,1978
271-1979,645,A,primary,271,1979
271-1980,645,A,primary,271,1980
271-1981,645,A,primary,271,1981
271-1982,645,A,primary,271,1982
271-1983,645,A,primary,271,1983
271-1984,645,A,primary,271,1984
271-1985,645,A,primary,271,1985
271-1986,645,A,primary,271,1986
271-1987,645,A,primary,271,1987
271-1988,645,A,primary,271,1988
271-1989,645,A,primary,271,1989
271-1990,645,A,primary,271,1990
271-1991,645,A,primary,271,1991
271-1992,645,A,primary,271,1992
271-1995,645,A,primary,271,1995
271-1996,645,A,primary,271,1996
272-1961,220,A,primary,272,1961
272-1961,616,B,primary,272,1961
273-1962,200,A,primary,273,1962
274-1962,710,A,primary,274,1962
274-1962,750,B,primary,274,1962
274-1967,710,A,primary,274,1967
274-1967,750,B,primary,274,1967
275-1964,530,A,primary,275,1964
275-1965,530,A,primary,275,1965
275-1966,530,A,primary,275,1966
275-1967,530,A,primary,275,1967
275-1968,530,A,primary,275,1968
275-1969,530,A,primary,275,1969
275-1970,530,A,primary,275,1970
275-1971,530,A,primary,275,1971
275-1972,530,A,primary,275,1972
275-1973,530,A,primary,275,1973
275-1974,530,A,primary,275,1974
275-1975,530,A,primary,275,1975
275-1976,530,A,primary,275,1976
275-1977,530,A,primary,275,1977
275-1977,680,A,secondary,275,1977
275-1978,530,A,primary,275,1978
275-1978,680,A,secondary,275,1978
275-1979,530,A,primary,275,1979
275-1980,530,A,primary,275,1980
275-1981,530,A,primary,275,1981
275-1982,530,A,primary,275,1982
275-1983,530,A,primary,275,1983
275-1984,530,A,primary,275,1984
275-1985,530,A,primary,275,1985
275-1986,530,A,primary,275,1986
275-1987,530,A,primary,275,1987
275-1988,530,A,primary,275,1988
275-1989,530,A,primary,275,1989
275-1990,530,A,primary,275,1990
275-1991,530,A,primary,275,1991
276-1962,850,A,primary,276,1962
276-1962,210,B,primary,276,1962
277-1962,101,A,primary,277,1962
277-1982,101,A,primary,277,1982
277-1992,101,A,primary,277,1992
278-1963,615,A,primary,278,1963
278-1963,600,B,primary,278,1963
279-1963,235,A,primary,279,1963
279-1964,235,A,primary,279,1964
279-1965,235,A,primary,279,1965
279-1966,235,A,primary,279,1966
279-1967,235,A,primary,279,1967
279-1968,235,A,primary,279,1968
279-1969,235,A,primary,279,1969
279-1970,235,A,primary,279,1970
279-1971,235,A,primary,279,1971
279-1972,235,A,primary,279,1972
279-1973,235,A,primary,279,1973
280-1963,820,A,primary,280,1963
280-1964,820,A,primary,280,1964
280-1965,820,A,primary,280,1965
280-1965,200,A,secondary,280,1965
280-1966,820,A,primary,280,1966
280-1966,200,A,secondary,280,1966
281-1963,850,A,primary,281,1963
281-1963,820,B,primary,281,1963
281-1963,200,B,secondary,281,1963
281-1964,850,A,primary,281,1964
281-1964,820,B,primary,281,1964
281-1964,200,B,secondary,281,1964
281-1965,850,A,primary,281,1965
281-1965,820,B,primary,281,1965
281-1965,200,B,secondary,281,1965
281-1966,850,A,primary,281,1966
281-1966,820,B,primary,281,1966
281-1966,200,B,secondary,281,1966
282-1963,625,A,primary,282,1963
282-1964,625,A,primary,282,1964
282-1965,625,A,primary,282,1965
282-1966,625,A,primary,282,1966
282-1967,625,A,primary,282,1967
282-1968,625,A,primary,282,1968
282-1969,625,A,primary,282,1969
282-1970,625,A,primary,282,1970
282-1971,625,A,primary,282,1971
282-1972,625,A,primary,282,1972
283-1964,490,A,primary,283,1964
283-1965,490,A,primary,283,1965
283-1967,490,A,primary,283,1967
283-1977,490,A,primary,283,1977
283-1977,600,A,secondary,283,1977
283-1977,500,A,secondary,283,1977
283-1978,490,A,primary,283,1978
283-1996,490,A,primary,283,1996
283-1996,517,B,secondary,283,1996
283-1997,490,A,primary,283,1997
283-1997,540,B,secondary,283,1997
283-1997,517,B,secondary,283,1997
283-1997,500,B,secondary,283,1997
283-1998,490,A,primary,283,1998
283-1998,540,A,secondary,283,1998
283-1998,483,A,secondary,283,1998
283-1998,565,A,secondary,283,1998
283-1998,552,A,secondary,283,1998
283-1998,500,B,secondary,283,1998
283-1998,517,B,secondary,283,1998
283-1999,490,A,primary,283,1999
283-1999,540,A,secondary,283,1999
283-1999,483,A,secondary,283,1999
283-1999,565,A,secondary,283,1999
283-1999,552,A,secondary,283,1999
283-1999,500,B,secondary,283,1999
283-1999,517,B,secondary,283,1999
283-2000,490,A,primary,283,2000
283-2000,540,A,secondary,283,2000
283-2000,565,A,secondary,283,2000
283-2000,552,A,secondary,283,2000
283-2000,500,B,secondary,283,2000
283-2000,517,B,secondary,283,2000
283-2001,490,A,primary,283,2001
283-2001,540,A,secondary,283,2001
283-2001,565,A,secondary,283,2001
283-2001,552,A,secondary,283,2001
283-2001,517,B,secondary,283,2001
283-2006,490,A,primary,283,2006
283-2007,490,A,primary,283,2007
283-2008,490,A,primary,283,2008
283-2011,490,A,primary,283,2011
283-2012,490,A,primary,283,2012
283-2012,517,B,secondary,283,2012
283-2012,500,B,secondary,283,2012
283-2013,490,A,primary,283,2013
283-2013,517,B,secondary,283,2013
283-2014,490,A,primary,283,2014
283-2016,490,A,primary,283,2016
283-2017,490,A,primary,283,2017
283-2018,490,A,primary,283,2018
284-1964,481,A,primary,284,1964
284-1964,220,B,secondary,284,1964
285-1964,235,A,primary,285,1964
285-1965,235,A,primary,285,1965
285-1966,235,A,primary,285,1966
285-1967,235,A,primary,285,1967
285-1968,235,A,primary,285,1968
285-1969,235,A,primary,285,1969
285-1970,235,A,primary,285,1970
285-1971,235,A,primary,285,1971
285-1972,235,A,primary,285,1972
285-1973,235,A,primary,285,1973
285-1974,235,A,primary,285,1974
286-1964,200,A,primary,286,1964
286-1965,200,A,primary,286,1965
286-1966,200,A,primary,286,1966
286-1967,200,A,primary,286,1967
287-1965,516,A,primary,287,1965
287-1991,516,A,primary,287,1991
287-1992,516,A,primary,287,1992
287-1994,516,A,primary,287,1994
287-1995,516,A,primary,287,1995
287-1996,516,A,primary,287,1996
287-1997,516,A,primary,287,1997
287-1998,516,A,primary,287,1998
287-1999,516,A,primary,287,1999
287-2000,516,A,primary,287,2000
287-2001,516,A,primary,287,2001
287-2002,516,A,primary,287,2002
287-2003,516,A,primary,287,2003
287-2004,516,A,primary,287,2004
287-2005,516,A,primary,287,2005
287-2006,516,A,primary,287,2006
287-2008,516,A,primary,287,2008
287-2014,516,A,primary,287,2014
287-2015,516,A,primary,287,2015
288-1966,483,A,primary,288,1966
288-1967,483,A,primary,288,1967
288-1968,483,A,primary,288,1968
288-1969,483,A,primary,288,1969
288-1969,220,A,secondary,288,1969
288-1970,483,A,primary,288,1970
288-1970,220,A,secondary,288,1970
288-1971,483,A,primary,288,1971
288-1971,220,A,secondary,288,1971
288-1972,483,A,primary,288,1972
288-1972,220,A,secondary,288,1972
288-1976,483,A,primary,288,1976
288-1977,483,A,primary,288,1977
288-1978,483,A,primary,288,1978
288-1978,220,A,secondary,288,1978
288-1979,483,A,primary,288,1979
288-1980,483,A,primary,288,1980
288-1980,620,A,secondary,288,1980
288-1981,483,A,primary,288,1981
288-1981,620,A,secondary,288,1981
288-1982,483,A,primary,288,1982
288-1983,483,A,primary,288,1983
288-1983,220,A,secondary,288,1983
288-1983,620,B,secondary,288,1983
288-1984,483,A,primary,288,1984
288-1984,220,A,secondary,288,1984
288-1984,620,B,secondary,288,1984
288-1986,483,A,primary,288,1986
288-1986,220,A,secondary,288,1986
288-1986,620,B,secondary,288,1986
288-1987,483,A,primary,288,1987
288-1987,490,A,secondary,288,1987
288-1987,220,A,secondary,288,1987
288-1987,620,B,secondary,288,1987
288-1989,483,A,primary,288,1989
288-1990,483,A,primary,288,1990
288-1991,483,A,primary,288,1991
288-1992,483,A,primary,288,1992
288-1993,483,A,primary,288,1993
288-1994,483,A,primary,288,1994
288-1997,483,A,primary,288,1997
288-1998,483,A,primary,288,1998
288-1999,483,A,primary,288,1999
288-2000,483,A,primary,288,2000
288-2001,483,A,primary,288,2001
288-2002,483,A,primary,288,2002
288-2003,483,A,primary,288,2003
288-2005,483,A,primary,288,2005
288-2006,483,A,primary,288,2006
288-2007,483,A,primary,288,2007
288-2008,483,A,primary,288,2008
288-2009,483,A,primary,288,2009
288-2010,483,A,primary,288,2010
288-2018,483,A,primary,288,2018
289-1964,100,A,primary,289,1964
289-1965,100,A,primary,289,1965
289-1966,100,A,primary,289,1966
289-1967,100,A,primary,289,1967
289-1968,100,A,primary,289,1968
289-1969,100,A,primary,289,1969
289-1970,100,A,primary,289,1970
289-1971,100,A,primary,289,1971
289-1972,100,A,primary,289,1972
289-1973,100,A,primary,289,1973
289-1974,100,A,primary,289,1974
289-1975,100,A,primary,289,1975
289-1976,100,A,primary,289,1976
289-1977,100,A,primary,289,1977
289-1978,100,A,primary,289,1978
289-1979,100,A,primary,289,1979
289-1980,100,A,primary,289,1980
289-1981,100,A,primary,289,1981
289-1982,100,A,primary,289,1982
289-1983,100,A,primary,289,1983
289-1984,100,A,primary,289,1984
289-1985,100,A,primary,289,1985
289-1986,100,A,primary,289,1986
289-1987,100,A,primary,289,1987
289-1988,100,A,primary,289,1988
289-1989,100,A,primary,289,1989
289-1990,100,A,primary,289,1990
289-1991,100,A,primary,289,1991
289-1992,100,A,primary,289,1992
289-1993,100,A,primary,289,1993
289-1994,100,A,primary,289,1994
289-1995,100,A,primary,289,1995
289-1996,100,A,primary,289,1996
289-1997,100,A,primary,289,1997
289-1998,100,A,primary,289,1998
289-1999,100,A,primary,289,1999
289-2000,100,A,primary,289,2000
289-2001,100,A,primary,289,2001
289-2002,100,A,primary,289,2002
289-2003,100,A,primary,289,2003
289-2004,100,A,primary,289,2004
289-2005,100,A,primary,289,2005
289-2006,100,A,primary,289,2006
289-2007,100,A,primary,289,2007
289-2008,100,A,primary,289,2008
289-2009,100,A,primary,289,2009
289-2010,100,A,primary,289,2010
289-2011,100,A,primary,289,2011
289-2012,100,A,primary,289,2012
289-2013,100,A,primary,289,2013
289-2014,100,A,primary,289,2014
289-2015,100,A,primary,289,2015
289-2016,100,A,primary,289,2016
289-2018,100,A,primary,289,2018
290-1965,42,A,primary,290,1965
291-1965,850,A,primary,291,1965
291-1967,850,A,primary,291,1967
291-1968,850,A,primary,291,1968
291-1969,850,A,primary,291,1969
291-1976,850,A,primary,291,1976
291-1977,850,A,primary,291,1977
291-1978,850,A,primary,291,1978
291-1981,850,A,primary,291,1981
291-1984,850,A,primary,291,1984
291-2018,850,A,primary,291,2018
292-1965,135,A,primary,292,1965
292-1982,135,A,primary,292,1982
292-1983,135,A,primary,292,1983
292-1984,135,A,primary,292,1984
292-1985,135,A,primary,292,1985
292-1986,135,A,primary,292,1986
292-1987,135,A,primary,292,1987
292-1988,135,A,primary,292,1988
292-1989,135,A,primary,292,1989
292-1990,135,A,primary,292,1990
292-1991,135,A,primary,292,1991
292-1992,135,A,primary,292,1992
292-1993,135,A,primary,292,1993
292-1994,135,A,primary,292,1994
292-1995,135,A,primary,292,1995
292-1996,135,A,primary,292,1996
292-1997,135,A,primary,292,1997
292-1998,135,A,primary,292,1998
292-1999,135,A,primary,292,1999
292-2007,135,A,primary,292,2007
292-2008,135,A,primary,292,2008
292-2009,135,A,primary,292,2009
292-2010,135,A,primary,292,2010
293-1965,817,A,primary,293,1965
293-1965,900,A,secondary,293,1965
293-1965,920,A,secondary,293,1965
293-1965,732,A,secondary,293,1965
293-1965,2,A,secondary,293,1965
293-1965,816,B,primary,293,1965
293-1965,731,B,secondary,293,1965
293-1966,817,A,primary,293,1966
293-1966,900,A,secondary,293,1966
293-1966,920,A,secondary,293,1966
293-1966,840,A,secondary,293,1966
293-1966,732,A,secondary,293,1966
293-1966,2,A,secondary,293,1966
