obs_id,gw_id,side,role,conflict_id,year
220-1989,150,A,primary,220,1989
221-1949,775,A,primary,221,1949
221-1950,775,A,primary,221,1950
221-1951,775,A,primary,221,1951
221-1952,775,A,primary,221,1952
221-1953,775,A,primary,221,1953
221-1954,775,A,primary,221,1954
221-1955,775,A,primary,221,1955
221-1956,775,A,primary,221,1956
221-1957,775,A,primary,221,1957
221-1958,775,A,primary,221,1958
221-1959,775,A,primary,221,1959
221-1960,775,A,primary,221,1960
221-1961,775,A,primary,221,1961
221-1962,775,A,primary,221,1962
221-1963,775,A,primary,221,1963
221-1964,775,A,primary,221,1964
221-1965,775,A,primary,221,1965
221-1966,775,A,primary,221,1966
221-1967,775,A,primary,221,1967
221-1968,775,A,primary,221,1968
221-1969,775,A,primary,221,1969
221-1970,775,A,primary,221,1970
221-1971,775,A,primary,221,1971
221-1972,775,A,primary,221,1972
221-1973,775,A,primary,221,1973
221-1974,775,A,primary,221,1974
221-1975,775,A,primary,221,1975
221-1976,775,A,primary,221,1976
221-1977,775,A,primary,221,1977
221-1978,775,A,primary,221,1978
221-1979,775,A,primary,221,1979
221-1980,775,A,primary,221,1980
221-1981,775,A,primary,221,1981
221-1982,775,A,primary,221,1982
221-1983,775,A,primary,221,1983
221-1984,775,A,primary,221,1984
221-1985,775,A,primary,221,1985
221-1986,775,A,primary,221,1986
221-1987,775,A,primary,221,1987
221-1988,775,A,primary,221,1988
221-1989,775,A,primary,221,1989
221-1990,775,A,primary,221,1990
221-1991,775,A,primary,221,1991
221-1992,775,A,primary,221,1992
221-1994,775,A,primary,221,1994
221-1995,775,A,primary,221,1995
221-1997,775,A,primary,221,1997
221-1998,775,A,primary,221,1998
221-2000,775,A,primary,221,2000
221-2001,775,A,primary,221,2001
221-2002,775,A,primary,221,2002
221-2003,775,A,primary,221,2003
221-2004,775,A,primary,221,2004
221-2005,775,A,primary,221,2005
221-2006,775,A,primary,221,2006
221-2007,775,A,primary,221,2007
221-2008,775,A,primary,221,2008
221-2009,775,A,primary,221,2009
221-2010,775,A,primary,221,2010
221-2011,775,A,primary,221,2011
221-2013,775,A,primary,221,2013
222-1948,775,A,primary,222,1948
222-1949,775,A,primary,222,1949
222-1950,775,A,primary,222,1950
222-1951,775,A,primary,222,1951
222-1952,775,A,primary,222,1952
222-1953,775,A,primary,222,1953
222-1954,775,A,primary,222,1954
222-1955,775,A,primary,222,1955
222-1956,775,A,primary,222,1956
222-1957,775,A,primary,222,1957
222-1958,775,A,primary,222,1958
222-1959,775,A,primary,222,1959
222-1960,775,A,primary,222,1960
222-1961,775,A,primary,222,1961
222-1962,775,A,primary,222,1962
222-1963,775,A,primary,222,1963
222-1964,775,A,primary,222,1964
222-1965,775,A,primary,222,1965
222-1966,775,A,primary,222,1966
222-1967,775,A,primary,222,1967
222-1968,775,A,primary,222,1968
222-1969,775,A,primary,222,1969
222-1970,775,A,primary,222,1970
222-1971,775,A,primary,222,1971
222-1972,775,A,primary,222,1972
222-1973,775,A,primary,222,1973
222-1974,775,A,primary,222,1974
222-1975,775,A,primary,222,1975
222-1976,775,A,primary,222,1976
222-1977,775,A,primary,222,1977
222-1978,775,A,primary,222,1978
222-1979,775,A,primary,222,1979
222-1980,775,A,primary,222,1980
222-1981,775,A,primary,222,1981
222-1982,775,A,primary,222,1982
222-1983,775,A,primary,222,1983
222-1984,775,A,primary,222,1984
222-1985,775,A,primary,222,1985
222-1986,775,A,primary,222,1986
222-1987,775,A,primary,222,1987
222-1988,775,A,primary,222,1988
222-1990,775,A,primary,222,1990
222-1991,775,A,primary,222,1991
222-1992,775,A,primary,222,1992
222-1994,775,A,primary,222,1994
222-2013,775,A,primary,222,2013
222-2014,775,A,primary,222,2014
222-2015,775,A,primary,222,2015
222-2017,775,A,primary,222,2017
