new_id,old_id,name
253,1095,SSRA
254,1096,TRC
255,1097,MTA
256,1098,RCSS
257,1099,NC
258,1100,CPN-M
259,1101,OAS
260,1102,KDP
261,1103,PUK
262,1104,KDP-QM
263,1105,North Kalimantan Liberation Army
264,1106,CCO
265,1107,FLOSY
266,1108,OPM
267,1109,MNF
268,1110,Military faction (forces loyal to Nureddin Atassi and Youssef Zeayen)
269,1111,Muslim Brotherhood
270,1112,KR
271,1113,KNUFNS
272,1114,KPNLF
273,1115,FUNCINPEC
274,1116,MIM
275,1117,MNLF
276,1118,MILF
277,1119,ASG
278,1120,MNLF - NM
279,1121,MNLF - HM
280,1122,Mukti Bahini
281,1123,JVP
282,1124,PIRA
283,1125,RIRA
284,1126,PFLO
285,1127,JSS/SB
286,1128,BLF Should be changed
287,1129,BLA
288,1130,Baloch Ittehad
289,1131,BRA
290,1132,Fretilin
291,1133,PDPA
292,1134,Jam'iyyat-i Islami-yi Afghanistan
293,1135,Harakat-i Inqilab-i Islami-yi Afghanistan
294,1136,Hizb-i Islami-yi Afghanistan - Khalis faction
295,1137,Jabha-yi Nijat-i Milli-yi Afghanistan
296,1138,Mahaz-i Milli-yi Islami-yi Afghanistan
297,1139,Ittihad-i Islami Bara-yi Azadi-yi Afghanistan
298,1140,Harakat-i Islami-yi Afghanistan
299,1141,Hizb-i Islami-yi Afghanistan
300,1142,Hizb-i Wahdat
301,1143,Military faction (forces of Shahnawaz Tanay)
302,1144,Junbish-i Milli-yi Islami
303,1146,Taleban
304,1147,UIFSA
305,1148,TNV
306,1149,ATTF
307,1150,NLFT
308,1151,MEK
309,1152,PJAK
310,1153,Jondullah
311,1154,APCO
312,1155,JSM
313,1156,ETA
314,1157,PLA
315,1158,UNLF
316,1159,KNF
317,1160,KCP
318,1161,PREPAK
319,1162,Sikh insurgents
320,1163,LTTE
321,1164,TELO
322,1165,EPRLF
323,1166,PKK
324,1167,Yemenite Socialist Party - Abdul Fattah Ismail faction
325,1168,Kashmir insurgents
326,1169,ULFA
327,1170,GAM
328,1171,BRA
329,1172,NSF
330,1173,Republic of Armenia
331,1174,APF
332,1175,National Guard and Mkhedrioni
333,1176,Zviadists
334,1177,Devrimci Sol
335,1178,MKP
336,1179,Republic of Slovenia
337,1180,Republic of Croatia
338,1181,Republic of Nagorno-Karabakh
339,1182,Serbian Republic of Bosnia-Herzegovina
340,1183,Serbian Republic of Krajina
341,1184,al-Gama'a al-Islamiyya
342,1185,Republic of Abkhazia
343,1186,Republic of South Ossetia
344,1187,PMR
345,1188,UTO
346,1189,Forces of Khudoberdiyev
347,1190,Military faction (forces of Suret Husseinov)
348,1191,OPON Forces
349,1192,Autonomous Province of Western Bosnia
350,1193,Croatian Republic of Bosnia-Herzegovina
