conflict_id,type_of_conflict,start_date,start_prec,end_date,incompatibility_isTerritory,incompatibility_isGovernment,territory_name
302,Interstate,1967-06-05,1,1973-10-24,1,0,Golan Heights
303,Internal,1967-07-06,2,1970-01-12,1,0,Biafra
304,Interstate,1969-02-28,4,1969-12-31,1,0,Common Border
305,Interstate,1969-03-02,1,1969-12-31,1,0,Ussuri river
306,Interstate,1969-07-03,2,1969-07-18,1,0,Common Border
307,Internal,2000-09-01,1,2001-07-19,0,1,
309,Internal,1971-07-22,1,,0,1,
310,Internal,1971-04-30,3,1971-04-30,0,1,
311,Internal,1971-07-10,1,1971-07-11,0,1,
312,Internal,1971-03-26,1,1971-12-16,1,0,East Pakistan
313,Internal,1971-04-05,1,1990-02-23,0,1,
314,Internal,1971-01-25,1,,0,1,
315,Internal,1970-08-11,1,1998-08-15,1,0,Northern Ireland
316,Internal,1972-03-25,1,1991-11-18,0,1,
317,Internal,1968-10-31,3,1975-12-11,0,1,
318,Internal,1966-04-29,1,1979-12-21,0,1,
319,Internal,1970-04-13,1,1972-12-31,0,1,
320,Interstate,1972-02-21,1,1979-03-30,1,1,Common border
321,Internal,1973-09-11,1,1973-09-11,0,1,
322,Internal,1975-02-28,5,1991-12-31,1,0,Chittagong Hill Tracts
323,Interstate,1974-06-20,2,1974-08-16,1,0,Northern Cyprus
324,Interstate,1972-04-11,1,1988-08-20,1,1,Various
325,Internal,1973-05-18,1,2016-10-23,1,0,Balochistan
326,Internal,1993-12-16,1,2003-08-09,0,1,
327,Internal,1975-11-11,1,2002-04-01,0,1,
328,Interstate,1975-05-01,1,1977-12-31,1,0,Common Border
329,Internal,1964-01-11,2,2016-12-31,1,0,Ogaden
330,Internal,1975-12-07,1,1999-09-22,1,0,East Timor
331,Internal,1975-09-01,1,1989-11-16,1,0,Sahrawi Arab Democratic Republic (Western Sahara)
332,Internal,1977-12-31,6,,0,1,
333,Internal,1975-07-02,2,,0,1,
334,Interstate,1974-01-19,1,1988-12-31,1,0,Various
335,Internal,1979-07-09,1,2004-12-28,1,0,Tripura
336,Internal,1974-12-27,2,1990-04-15,0,1,
337,Internal,1982-01-18,1,,0,1,
338,Internal,1972-08-13,1,,0,1,
339,Internal,1979-05-30,1,1980-12-31,1,0,Arabistan
340,Internal,1979-11-20,1,1979-12-04,0,1,
341,Internal,1980-04-12,1,2003-11-21,0,1,
342,Internal,1968-06-07,1,1991-12-13,1,0,Basque
343,Internal,1980-01-27,1,1980-01-28,0,1,
344,Internal,1981-07-30,1,1981-08-05,0,1,
345,Internal,1978-02-01,1,1988-12-31,0,1,
346,Interstate,1982-04-02,1,1982-06-14,1,0,Malvinas/Falkland Islands
347,Internal,1979-04-26,1,2009-12-28,1,0,Manipur
348,Internal,1982-08-01,1,1982-08-21,0,1,
349,Interstate,1983-04-18,1,1983-11-01,1,0,Lake Chad
350,Interstate,1983-10-25,1,1983-10-27,0,1,
351,Internal,1981-09-20,1,1993-12-24,1,0,Punjab/Khalistan
352,Internal,1975-07-27,1,2009-07-04,1,0,Eelam
353,Internal,1960-01-31,4,2017-12-03,0,1,
354,Internal,1983-05-01,1,,1,0,Kurdistan
355,Interstate,1985-12-25,1,1985-12-31,1,0,Agacher Strip
356,Interstate,1982-06-16,1,1988-02-17,1,0,Common Border
357,Internal,1986-08-21,1,1987-12-31,0,1,
358,Internal,1986-09-23,2,1986-09-24,0,1,
359,Internal,1986-01-13,1,1986-01-20,0,1,
360,Internal,1987-10-15,1,,0,1,
361,Interstate,1987-08-08,1,1987-09-12,1,0,Aozou strip
362,Internal,1989-11-27,2,1989-11-29,0,1,
363,Internal,1975-06-30,3,1996-12-31,1,0,Afar
364,Internal,1984-02-06,1,,1,0,Kashmir
365,Internal,1983-12-31,5,2010-10-16,1,0,Assam
366,Internal,1989-05-02,3,2005-10-12,1,0,Aceh
367,Internal,1989-10-03,1,1989-10-03,0,1,
368,Interstate,1989-12-16,1,1989-12-23,0,1,
369,Internal,1989-04-06,1,1996-11-28,1,0,Bougainville
370,Internal,1989-12-17,2,1989-12-29,0,1,
371,Interstate,1990-08-02,1,1991-03-01,1,0,Kuwait
372,Internal,1990-06-28,1,2015-05-18,1,0,Azawad
373,Internal,1994-01-19,1,1994-09-26,1,0,Air and Azawad
374,Internal,1990-10-01,1,,0,1,
375,Internal,1988-12-31,3,2011-12-30,1,0,Casamance
376,Internal,1990-01-19,3,1991-12-21,1,0,Nagorno-Karabakh
377,Internal,1990-01-20,2,1990-01-27,1,0,Azerbaijan
378,Internal,1990-07-27,1,1990-08-02,0,1,
379,Internal,1991-11-12,1,1999-08-31,0,1,
380,Internal,1991-12-22,1,1993-11-16,0,1,
381,Internal,1989-04-03,1,2004-11-19,0,1,
382,Internal,1991-03-23,1,2001-12-20,0,1,
383,Internal,1987-12-31,5,2016-12-17,0,1,
384,Internal,1991-06-27,1,1991-07-03,1,0,Slovenia
385,Internal,1991-07-09,1,1992-04-06,1,0,Croatia
386,Internal,1985-08-27,1,,0,1,
387,Internal,1991-06-03,3,2017-12-31,1,0,Cabinda
388,Internal,1991-12-29,1,2017-12-14,1,0,Artsakh (Nagorno-Karabakh)
389,Internal,1992-04-27,1,1995-12-31,1,0,Serb
390,Internal,1992-04-29,1,1995-09-06,1,0,Serb
391,Internal,1981-10-08,1,,0,1,
392,Internal,1992-08-14,1,1993-11-29,1,0,Abkhazia
393,Internal,1992-05-12,1,2008-11-09,1,0,South Ossetia
394,Internal,1992-03-01,1,1992-07-31,1,0,Dniestr
395,Internal,1992-05-05,1,2011-07-25,0,1,
396,Internal,1992-05-15,1,1995-03-17,0,1,
397,Internal,1993-07-21,1,1995-07-28,1,0,Bihaca Krajina
398,Internal,1993-01-13,1,1994-09-05,1,0,Croat
399,Internal,1991-08-20,1,1993-10-05,0,1,
400,Internal,1994-01-01,1,1996-12-31,0,1,
401,Internal,1994-05-27,1,2007-10-06,1,0,Chechnya
402,Internal,1994-02-21,1,1994-07-04,1,0,South Yemen
403,Interstate,1995-01-26,1,1995-12-31,1,0,Cordillera del Condor
404,Internal,1990-02-11,2,,0,1,
