2	USA	United States of America	01:01:1816	31:12:2017
20	CAN	Canada	01:07:1867	31:12:2017
31	BHM	Bahamas	10:07:1973	31:12:2017
40	CUB	Cuba	20:05:1902	31:12:2017
41	HAI	Haiti	01:01:1816	04:07:1915
41	HAI	Haiti	15:08:1934	31:12:2017
42	DOM	Dominican Republic	27:02:1844	31:12:2017
51	JAM	Jamaica	06:08:1962	31:12:2017
52	TRI	Trinidad and Tobago	31:08:1962	31:12:2017
53	BAR	Barbados	30:11:1966	31:12:2017
70	MEX	Mexico	01:07:1821	31:12:2017
80	BLZ	Belize	21:09:1981	31:12:2017
89	UPC	United Provinces of Central America	01:07:1823	31:12:1839
90	GUA	Guatemala	01:01:1840	31:12:2017
91	HON	Honduras	01:01:1840	31:12:2017
92	SAL	El Salvador	01:01:1840	31:12:2017
93	NIC	Nicaragua	01:01:1840	31:12:2017
94	COS	Costa Rica	01:01:1840	31:12:2017
95	PAN	Panama	03:11:1903	31:12:2017
99	GCL	Great Colombia	30:08:1821	22:09:1830
100	COL	Colombia	23:09:1830	31:12:2017
101	VEN	Venezuela	01:01:1829	31:12:2017
110	GUY	Guyana	26:05:1966	31:12:2017
115	SUR	Surinam	25:11:1975	31:12:2017
130	ECU	Ecuador	13:05:1830	31:12:2017
135	PER	Peru	09:12:1824	31:12:2017
140	BRA	Brazil	07:09:1822	31:12:2017
145	BOL	Bolivia	06:08:1825	31:12:2017
150	PAR	Paraguay	01:01:1816	31:12:2017
155	CHL	Chile	01:04:1818	31:12:2017
160	ARG	Argentina	09:07:1816	31:12:2017
165	URU	Uruguay	26:05:1830	31:12:2017
200	UKG	United Kingdom	01:01:1816	31:12:2017
205	IRE	Ireland	06:12:1921	31:12:2017
210	NTH	Netherlands	01:01:1816	31:12:2017
211	BEL	Belgium	04:10:1830	31:12:2017
212	LUX	Luxembourg	11:05:1867	31:12:2017
220	FRN	France	01:01:1816	31:12:2017
225	SWZ	Switzerland	01:01:1816	31:12:2017
230	SPN	Spain	01:01:1816	31:12:2017
235	POR	Portugal	01:01:1816	31:12:2017
240	HAN	Hanover	01:01:1816	17:01:1871
245	BAV	Bavaria	01:01:1816	17:01:1871
255	GMY	Germany (Prussia)	01:01:1816	07:05:1945
260	GFR	German Federal Republic	21:09:1949	31:12:2017
265	GDR	German Democratic Republic	05:10:1949	02:10:1990
267	BAD	Baden	01:01:1816	17:01:1871
269	SAX	Saxony	01:01:1816	17:01:1871
271	WRT	Württemberg	01:01:1816	17:01:1871
273	HSE	Hesse-Kassel (Electoral)	01:01:1816	17:01:1871
275	HSD	Hesse-Darmstadt (Ducal)	01:01:1816	17:01:1871
280	MEC	Mecklenburg-Schwerin	01:01:1816	17:01:1871
290	POL	Poland	11:11:1918	31:12:2017
300	AUH	Austria-Hungary	01:01:1816	13:11:1918
305	AUS	Austria	14:11:1918	31:12:2017
310	HUN	Hungary	03:11:1918	31:12:2017
315	CZE	Czechoslovakia	11:11:1918	31:12:1992
316	CZR	Czech Republic	01:01:1993	31:12:2017
317	SLO	Slovakia	01:01:1993	31:12:2017
325	ITA	Italy/Sardinia	01:01:1816	31:12:2017
327	PAP	Papal States	01:01:1816	22:09:1870
329	SIC	Two Sicilies	01:01:1816	16:03:1861
332	MOD	Modena	01:01:1816	16:03:1861
335	PMA	Parma	01:01:1816	16:03:1861
337	TUS	Tuscany	01:01:1816	16:03:1861
338	MLT	Malta	21:09:1964	31:12:2017
339	ALB	Albania	01:01:1913	31:12:2017
341	MNG	Montenegro	01:01:1868	01:07:1915
341	MNG	Montenegro	03:06:2006	31:12:2017
343	MAC	Macedonia (Former Yugoslav Republic of)	20:11:1991	31:12:2017
344	CRO	Croatia	27:04:1992	31:12:2017
340	SER	Serbia	13:07:1878	01:10:1915
340	SER	Serbia	05:06:2006	31:12:2017
345	YUG	Yugoslavia	01:12:1918	04:06:2006
346	BOS	Bosnia-Herzegovina	27:04:1992	31:12:2017
347	KOS	Kosovo	17:02:2008	31:12:2017
349	SLV	Slovenia	27:04:1992	31:12:2017
350	GRC	Greece	25:04:1828	31:12:2017
352	CYP	Cyprus	16:08:1960	31:12:2017
355	BUL	Bulgaria	03:03:1878	31:12:2017
359	MLD	Moldova	27:08:1991	31:12:2017
360	RUM	Rumania	13:07:1878	31:12:2017
365	RUS	Russia (Soviet Union)	01:01:1816	31:12:2017
366	EST	Estonia	11:11:1918	01:06:1940
366	EST	Estonia	06:09:1991	31:12:2017
367	LAT	Latvia	11:11:1918	01:06:1940
367	LAT	Latvia	06:09:1991	31:12:2017
368	LIT	Lithuania	16:02:1918	01:06:1940
368	LIT	Lithuania	06:09:1991	31:12:2017
369	UKR	Ukraine	01:12:1991	31:12:2017
370	BLR	Belarus (Byelorussia)	25:08:1991	31:12:2017
371	ARM	Armenia	21:12:1991	31:12:2017
372	GRG	Georgia	21:12:1991	31:12:2017
373	AZE	Azerbaijan	21:12:1991	31:12:2017
375	FIN	Finland	06:12:1917	31:12:2017
380	SWD	Sweden	01:01:1816	31:12:2017
385	NOR	Norway	26:08:1905	31:12:2017
390	DEN	Denmark	01:01:1816	31:12:2017
395	ICE	Iceland	17:06:1944	31:12:2017
402	CAP	Cape Verde	05:07:1975	31:12:2017
404	GNB	Guinea-Bissau	10:09:1974	31:12:2017
411	EQG	Equatorial Guinea	12:10:1968	31:12:2017
420	GAM	Gambia	18:02:1965	31:12:2017
432	MLI	Mali	22:09:1960	31:12:2017
433	SEN	Senegal	04:04:1960	31:12:2017
434	BEN	Benin	01:08:1960	31:12:2017
435	MAA	Mauritania	28:11:1960	31:12:2017
436	NIR	Niger	03:08:1960	31:12:2017
437	CDI	Cote D’Ivoire	07:08:1960	31:12:2017
438	GUI	Guinea	02:10:1958	31:12:2017
439	BFO	Burkina Faso (Upper Volta)	05:08:1960	31:12:2017
450	LBR	Liberia	26:07:1847	31:12:2017
451	SIE	Sierra Leone	27:04:1961	31:12:2017
452	GHA	Ghana	06:03:1957	31:12:2017
461	TOG	Togo	27:04:1960	31:12:2017
471	CAO	Cameroon	01:01:1960	31:12:2017
475	NIG	Nigeria	01:10:1960	31:12:2017
481	GAB	Gabon	17:08:1960	31:12:2017
482	CEN	Central African Republic	13:08:1960	31:12:2017
483	CHA	Chad	11:08:1960	31:12:2017
484	CON	Congo	15:08:1960	31:12:2017
490	DRC	Congo, Democratic Republic of (Zaire)	30:06:1960	31:12:2017
500	UGA	Uganda	09:10:1962	31:12:2017
501	KEN	Kenya	12:12:1963	31:12:2017
510	TAZ	Tanzania/Tanganyika	09:12:1961	31:12:2017
511	ZAN	Zanzibar	19:12:1963	26:04:1964
516	BUI	Burundi	01:07:1962	31:12:2017
517	RWA	Rwanda	07:01:1962	31:12:2017
520	SOM	Somalia	01:07:1960	31:12:2017
522	DJI	Djibouti	27:06:1977	31:12:2017
530	ETH	Ethiopia	11:02:1855	31:12:2017
531	ERI	Eritrea	24:05:1993	31:12:2017
540	ANG	Angola	11:11:1975	31:12:2017
541	MZM	Mozambique	25:06:1975	31:12:2017
551	ZAM	Zambia	24:10:1964	31:12:2017
552	ZIM	Zimbabwe (Rhodesia)	11:11:1965	31:12:2017
553	MAW	Malawi	06:07:1964	31:12:2017
560	SAF	South Africa	31:05:1910	31:12:2017
563	TRA	Transvaal	01:01:1852	30:05:1910
564	OFS	Orange Free State	28:03:1854	30:05:1910
565	NAM	Namibia	21:03:1990	31:12:2017
570	LES	Lesotho	04:10:1966	31:12:2017
571	BOT	Botswana	30:09:1966	31:12:2017
572	SWA	Swaziland	06:09:1968	31:12:2017
580	MAG	Madagascar (Malagasy)	01:01:1816	05:08:1896
580	MAG	Madagascar	26:06:1960	31:12:2017
581	COM	Comoros	06:07:1975	31:12:2017
590	MAS	Mauritius	12:03:1968	31:12:2017
600	MOR	Morocco	01:01:1816	01:01:1904
600	MOR	Morocco	02:03:1956	31:12:2017
615	ALG	Algeria	01:01:1816	05:07:1830
615	ALG	Algeria	05:07:1962	31:12:2017
616	TUN	Tunisia	01:01:1816	12:05:1881
616	TUN	Tunisia	01:01:1956	31:12:2017
620	LIB	Libya	01:01:1816	31:12:1834
620	LIB	Libya	24:12:1951	31:12:2017
625	SUD	Sudan	01:01:1956	31:12:2017
626	SSD	South Sudan	09:07:2011	31:12:2017
630	IRN	Iran (Persia)	01:01:1816	31:12:2017
640	TUR	Turkey (Ottoman Empire)	01:01:1816	31:12:2017
645	IRQ	Iraq	03:10:1932	31:12:2017
651	EGY	Egypt	01:01:1827	31:12:1855
651	EGY	Egypt	28:02:1922	31:12:2017
652	SYR	Syria	01:01:1946	31:12:2017
660	LEB	Lebanon	22:11:1944	31:12:2017
663	JOR	Jordan	25:05:1946	31:12:2017
666	ISR	Israel	14:05:1948	31:12:2017
670	SAU	Saudi Arabia	23:09:1932	31:12:2017
678	YEM	Yemen (Arab Republic of Yemen)	30:10:1918	31:12:2017
680	YPR	Yemen, People's Republic of	30:11:1967	21:05:1990
690	KUW	Kuwait	19:06:1961	31:12:2017
692	BAH	Bahrain	15:08:1971	31:12:2017
694	QAT	Qatar	03:09:1971	31:12:2017
696	UAE	United Arab Emirates	02:12:1971	31:12:2017
698	OMA	Oman	01:01:1816	31:12:2017
700	AFG	Afghanistan	01:01:1816	30:12:1888
700	AFG	Afghanistan	01:05:1919	31:12:2017
701	TKM	Turkmenistan	27:10:1991	31:12:2017
702	TAJ	Tajikistan	09:09:1991	31:12:2017
703	KYR	Kyrgyz Republic	31:08:1991	31:12:2017
704	UZB	Uzbekistan	31:08:1991	31:12:2017
705	KZK	Kazakhstan	16:12:1991	31:12:2017
710	CHN	China	01:01:1816	31:12:2017
711	TBT	Tibet	01:01:1913	01:10:1950
712	MON	Mongolia	13:03:1921	31:12:2017
713	TAW	Taiwan	08:12:1949	31:12:2017
730	KOR	Korea	01:01:1816	22:08:1910
731	PRK	Korea, People's Republic of	09:09:1948	31:12:2017
732	ROK	Korea, Republic of	15:08:1948	31:12:2017
740	JPN	Japan	01:01:1816	31:12:2017
750	IND	India	15:08:1947	31:12:2017
760	BHU	Bhutan	01:01:1949	31:12:2017
770	PAK	Pakistan	14:08:1947	31:12:2017
771	BNG	Bangladesh	16:12:1971	31:12:2017
775	MYA	Myanmar (Burma)	01:01:1816	31:12:1885
775	MYA	Myanmar (Burma)	04:01:1948	31:12:2017
780	SRI	Sri Lanka (Ceylon)	04:02:1948	31:12:2017
781	MAD	Maldives	26:05:1965	31:12:2017
790	NEP	Nepal	01:01:1816	31:12:2017
800	THI	Thailand	01:01:1816	31:12:2017
811	CAM	Cambodia (Kampuchea)	09:11:1953	31:12:2017
812	LAO	Laos	01:05:1954	31:12:2017
815	VNM	Vietnam (Annam/Cochin China/Tonkin)	01:01:1816	01:01:1893
816	DRV	Vietnam, Democratic Republic of	01:05:1954	31:12:2017
817	RVN	Vietnam, Republic of	01:05:1954	30:04:1975
820	MAL	Malaysia	31:08:1957	31:12:2017
830	SIN	Singapore	09:08:1965	31:12:2017
835	BRU	Brunei	01:01:1984	31:12:2017
840	PHI	Philippines	04:07:1946	31:12:2017
850	INS	Indonesia	17:08:1945	31:12:2017
860	ETM	East Timor	20:05:2002	31:12:2017
900	AUL	Australia	01:01:1901	31:12:2017
910	PNG	Papua New Guinea	16:09:1975	31:12:2017
920	NEW	New Zealand	01:09:1907	31:12:2017
940	SOL	Solomon Islands	07:07:1978	31:12:2017
950	FJI	Fiji	10:10:1970	31:12:2017
